fold,record_id,representative_cluster_id,representative_record_id
2,11G2Y,cluster:AJCVH,AJCVH
4,134NN,cluster:134NN,134NN
4,13ANW,cluster:1LT8G,1LT8G
2,15MYG,cluster:5LCAQ,5LCAQ
3,162KQ,cluster:6LRFZ,6LRFZ
2,16WGJ,cluster:AJCVH,AJCVH
1,1AFJZ,cluster:45EFN,45EFN
3,1B7TK,cluster:1B7TK,1B7TK
1,1BEMJ,cluster:Y46HX,Y46HX
5,1K2R7,cluster:WQUOO,WQUOO
2,1KNNM,cluster:1KNNM,1KNNM
4,1KUE6,cluster:1KUE6,1KUE6
2,1L4BP,cluster:1L4BP,1L4BP
4,1LT8G,cluster:1LT8G,1LT8G
5,1LZV9,cluster:WQUOO,WQUOO
3,1M48O,cluster:1M48O,1M48O
2,1NUNN,cluster:GNU4X,GNU4X
5,1Q7JU,cluster:WQUOO,WQUOO
2,1SEDF,cluster:AJCVH,AJCVH
1,1VSM7,cluster:45EFN,45EFN
5,1XF1B,cluster:WQUOO,WQUOO
3,21E2G,cluster:21E2G,21E2G
3,21PQ5,cluster:21PQ5,21PQ5
5,243P7,cluster:WQUOO,WQUOO
4,26VNF,cluster:1LT8G,1LT8G
5,27HOS,cluster:WQUOO,WQUOO
2,296AF,cluster:9JNRR,9JNRR
5,2A3U4,cluster:WQUOO,WQUOO
1,2BJM7,cluster:O8SH6,O8SH6
2,2BK6M,cluster:A315M,A315M
4,2D7XF,cluster:1LT8G,1LT8G
2,2DB3H,cluster:GNU4X,GNU4X
4,2DGCJ,cluster:1LT8G,1LT8G
3,2EG15,cluster:2EG15,2EG15
4,2ERUG,cluster:1LT8G,1LT8G
1,2G7N6,cluster:45EFN,45EFN
3,2HEJS,cluster:6LRFZ,6LRFZ
5,2KWB9,cluster:WQUOO,WQUOO
3,2P4CB,cluster:437NM,437NM
5,2V75Y,cluster:WQUOO,WQUOO
5,2VONA,cluster:WQUOO,WQUOO
3,31NFQ,cluster:6LRFZ,6LRFZ
3,37XMD,cluster:6LRFZ,6LRFZ
5,37ZRR,cluster:WQUOO,WQUOO
